            Net (  X,  Y)-( X2, Y2) Length

    1  (  5,  1)-(  5,  2) 
    1  ( 14, 20)-( 14, 21) 
    2  (  3,  6)-(  3,  8) 
    2  (  4,  7)-(  4,  9) 
    2  ( 16,  5)-( 16,  7) 
    3  (  2,  8)-(  2, 11) 
    3  (  4, 14)-(  4, 17) 
    3  ( 13, 19)-( 13, 22) 
    3  ( 21,  2)-( 21,  5) 
    3  ( 24, 20)-( 24, 23) 
    3  ( 25,  6)-( 25,  9) 
    4  (  2, 16)-(  2, 20) 
    4  (  8, 17)-(  8, 21) 
    4  ( 31, 16)-( 31, 20) 
    6  (  3, 13)-(  3, 19) 
    6  (  5, 17)-(  5, 23) 
    6  ( 25, 19)-( 25, 25) 
    6  ( 30, 15)-( 30, 21) 
    7  ( 27, 18)-( 27, 25) 
    8  (  5,  3)-(  5, 11) 
    8  ( 29,  3)-( 29, 11) 
    8  ( 29, 14)-( 29, 22) 
    9  (  7, 16)-(  7, 25) 
    9  ( 28,  1)-( 28, 10) 
   11  ( 16, 14)-( 16, 25) 
   22  ( 26,  5)-( 26, 27) 
